Date,Credit/Debit,Balance,Category
04/07/2024,-100,120.29,Eating out
04/07/2024,-19.39,220.29,Travel
04/07/2024,-35.37,239.68,Travel
04/07/2024,-10,275.05,Food
04/07/2024,-14.5,285.05,Food
03/07/2024,-13.3,299.55,Utilities
03/07/2024,-12.68,312.85,Travel
03/07/2024,-40,325.53,Food
03/07/2024,174.46,365.53,Eating out
02/07/2024,100,191.07,Utilities
02/07/2024,-83,91.07,Travel
02/07/2024,-54.99,174.07,Utilities
02/07/2024,-39.92,229.06,Eating out
02/07/2024,-20.19,268.98,Eating out
02/07/2024,-59.37,289.17,Eating out
02/07/2024,-9.73,348.54,Travel
02/07/2024,-6.68,358.27,Travel
02/07/2024,-12.92,364.95,Travel
02/07/2024,-208.94,377.87,Utilities
01/07/2024,300,586.81,Utilities
29/06/2024,128,286.81,Travel
29/06/2024,-23.08,158.81,Travel
29/06/2024,-12.14,181.89,Food
29/06/2024,-35.83,194.03,Travel
29/06/2024,-23.83,229.86,Food
29/06/2024,-114,253.69,Food
29/06/2024,-200,367.69,Eating out
27/06/2024,-40,567.69,Travel
27/06/2024,-37.49,607.69,Travel
27/06/2024,-12.43,645.18,Travel
26/06/2024,-1500,657.61,Travel
26/06/2024,334.6,2157.61,Eating out
26/06/2024,1092.16,1823.01,Eating out
26/06/2024,-20.92,730.85,Food
26/06/2024,624.38,751.77,Eating out
25/06/2024,-17,127.39,Eating out
25/06/2024,-23.99,144.39,Eating out
25/06/2024,-55,168.38,Eating out
25/06/2024,-76.02,223.38,Food
25/06/2024,-29.54,299.4,Entertainment
25/06/2024,-16.75,328.94,Food
25/06/2024,100,345.69,Travel
22/06/2024,100,245.69,Travel
22/06/2024,-5.4,145.69,Entertainment
22/06/2024,-11.63,151.09,Utilities
22/06/2024,-9.55,162.72,Food
21/06/2024,80,172.27,Entertainment
21/06/2024,-3.08,92.27,Travel
21/06/2024,-80,95.35,Eating out
21/06/2024,100,175.35,Travel
21/06/2024,-80,75.35,Travel
21/06/2024,-28.79,155.35,Utilities
21/06/2024,-14.26,184.14,Utilities
21/06/2024,-15.6,198.4,Eating out
21/06/2024,-12.88,214,Eating out
21/06/2024,-9.13,226.88,Food
21/06/2024,-24,236.01,Eating out
21/06/2024,-22,260.01,Food
20/06/2024,-35.21,282.01,Food
19/06/2024,-14.61,317.22,Travel
19/06/2024,-16.8,331.83,Eating out
19/06/2024,-9.25,348.63,Travel
19/06/2024,-12.67,357.88,Eating out
19/06/2024,-0.5,370.55,Eating out
19/06/2024,5,371.05,Eating out
19/06/2024,-200,366.05,Food
19/06/2024,378.91,566.05,Travel
18/06/2024,100,187.14,Travel
18/06/2024,-15.12,87.14,Eating out
18/06/2024,-50,102.26,Eating out
18/06/2024,-4.27,152.26,Food
18/06/2024,-20.8,156.53,Travel
18/06/2024,-49.12,177.33,Eating out
18/06/2024,-8.56,226.45,Travel
18/06/2024,-10.57,235.01,Food
18/06/2024,-16.46,245.58,Food
16/06/2024,100,262.04,Travel
15/06/2024,-12.15,162.04,Travel
15/06/2024,-13.01,174.19,Travel
15/06/2024,-6.99,187.2,Travel
15/06/2024,-16.8,194.19,Travel
15/06/2024,-114,210.99,Utilities
14/06/2024,-12.41,324.99,Food
14/06/2024,-15,337.4,Travel
13/06/2024,-48.1,352.4,Travel
13/06/2024,-3.5,400.5,Travel
13/06/2024,-1.17,404,Utilities
13/06/2024,-33.47,405.17,Utilities
13/06/2024,-1.17,438.64,Eating out
13/06/2024,-33.47,439.81,Eating out
13/06/2024,-50.81,473.28,Food
12/06/2024,300,524.09,Utilities
12/06/2024,-9.99,224.09,Food
11/06/2024,100,234.08,Food
11/06/2024,4,134.08,Travel
11/06/2024,100,130.08,Food
11/06/2024,-287,30.08,Travel
11/06/2024,-10.55,317.08,Entertainment
11/06/2024,-72.01,327.63,Eating out
11/06/2024,-21.56,399.64,Utilities
11/06/2024,-52.46,421.2,Eating out
09/06/2024,-63,473.66,Eating out
09/06/2024,100,536.66,Entertainment
08/06/2024,-19,436.66,Travel
08/06/2024,-26.15,455.66,Food
08/06/2024,-19.67,481.81,Food
08/06/2024,-5.3,501.48,Food
08/06/2024,-54.99,506.78,Eating out
08/06/2024,-19.39,561.77,Travel
07/06/2024,100,581.16,Travel
07/06/2024,200,481.16,Travel
07/06/2024,-4.27,281.16,Eating out
07/06/2024,-26,285.43,Travel
07/06/2024,-21.35,311.43,Utilities
07/06/2024,-17.15,332.78,Travel
06/06/2024,-97.45,349.93,Travel
06/06/2024,-54.99,447.38,Travel
06/06/2024,-13.86,502.37,Travel
06/06/2024,-20.3,516.23,Eating out
05/06/2024,-50,536.53,Travel
05/06/2024,-9.31,586.53,Eating out
05/06/2024,-9.36,595.84,Eating out
05/06/2024,-8.88,605.2,Eating out
05/06/2024,-9.36,614.08,Utilities
05/06/2024,-6.55,623.44,Travel
05/06/2024,-24,629.99,Travel
05/06/2024,216.72,653.99,Eating out
04/06/2024,200,437.27,Travel
04/06/2024,-55.68,237.27,Eating out
04/06/2024,-54.5,292.95,Travel
04/06/2024,-9.48,347.45,Eating out
04/06/2024,-26.4,356.93,Travel
04/06/2024,-5.1,383.33,Eating out
04/06/2024,-53.75,388.43,Eating out
03/06/2024,100,442.18,Eating out
02/06/2024,110,342.18,Eating out
02/06/2024,-8.7,232.18,Utilities
01/06/2024,-0.04,240.88,Travel
01/06/2024,-200,240.92,Eating out
01/06/2024,-500,440.92,Eating out
01/06/2024,-114,940.92,Travel
01/06/2024,-200,1054.92,Eating out
01/06/2024,-30.03,1254.92,Travel
01/06/2024,-41.41,1284.95,Travel
01/06/2024,-106.94,1326.36,Eating out
31/05/2024,-13.85,1433.3,Entertainment
31/05/2024,-33.2,1447.15,Eating out
30/05/2024,-2.5,1480.35,Travel
30/05/2024,-2.5,1482.85,Travel
30/05/2024,-3.5,1485.35,Food
30/05/2024,-3,1488.85,Eating out
30/05/2024,-22.96,1491.85,Eating out
30/05/2024,3.5,1514.81,Travel
29/05/2024,679.2,1511.31,Travel
29/05/2024,556.1,832.11,Travel
29/05/2024,-39,276.01,Eating out
29/05/2024,-5.8,315.01,Eating out
29/05/2024,216.72,320.81,Food
28/05/2024,-60,104.09,Travel
28/05/2024,-58.75,164.09,Entertainment
28/05/2024,-10.2,222.84,Travel
28/05/2024,-15.13,233.04,Food
28/05/2024,-21.59,248.17,Travel
28/05/2024,-3.8,269.76,Travel
28/05/2024,-3.2,273.56,Eating out
28/05/2024,-3.1,276.76,Eating out
28/05/2024,-21.22,279.86,Travel
28/05/2024,-59.94,301.08,Eating out
28/05/2024,-51.19,361.02,Entertainment
28/05/2024,-19.76,412.21,Utilities
26/05/2024,200,431.97,Travel
26/05/2024,100,231.97,Travel
25/05/2024,-10,131.97,Travel
25/05/2024,-50,141.97,Travel
25/05/2024,100,191.97,Travel
25/05/2024,-15.12,91.97,Entertainment
25/05/2024,-19.27,107.09,Food
25/05/2024,-20.78,126.36,Eating out
25/05/2024,-31.95,147.14,Travel
24/05/2024,-2.99,179.09,Eating out
24/05/2024,-21.47,182.08,Entertainment
24/05/2024,-20.85,203.55,Eating out
24/05/2024,-19.48,224.4,Utilities
24/05/2024,-19.16,243.88,Travel
24/05/2024,-15,263.04,Eating out
24/05/2024,-39.13,278.04,Eating out
23/05/2024,100,317.17,Eating out
23/05/2024,-19.95,217.17,Eating out
22/05/2024,200,237.12,Eating out
22/05/2024,-15.12,37.12,Eating out
22/05/2024,-11.83,52.24,Travel
22/05/2024,-10.4,64.07,Food
22/05/2024,-9.3,74.47,Eating out
22/05/2024,-19.12,83.77,Travel
22/05/2024,-5.5,102.89,Travel
22/05/2024,-4.99,108.39,Travel
22/05/2024,-2.99,113.38,Eating out
21/05/2024,-18.17,116.37,Eating out
21/05/2024,-61.17,134.54,Eating out
21/05/2024,-21.98,195.71,Travel
21/05/2024,-58.7,217.69,Eating out
21/05/2024,-18.28,276.39,Eating out
21/05/2024,-9,294.67,Eating out
21/05/2024,-18,303.67,Eating out
21/05/2024,-13.17,321.67,Eating out
21/05/2024,-53.34,334.84,Eating out
21/05/2024,-112.15,388.18,Eating out
21/05/2024,-114.6,500.33,Eating out
21/05/2024,-12,614.93,Eating out
21/05/2024,-20.51,626.93,Food
21/05/2024,-20.35,647.44,Utilities
21/05/2024,-8.17,667.79,Eating out
21/05/2024,-6.56,675.96,Travel
20/05/2024,-200,682.52,Food
20/05/2024,-1890,882.52,Travel
20/05/2024,2000,2772.52,Utilities
20/05/2024,200,772.52,Travel
18/05/2024,20,572.52,Travel
18/05/2024,100,552.52,Eating out
18/05/2024,40,452.52,Eating out
18/05/2024,100,412.52,Eating out
18/05/2024,150,312.52,Eating out
18/05/2024,-15.12,162.52,Eating out
18/05/2024,-12.52,177.64,Travel
18/05/2024,-8.7,190.16,Travel
18/05/2024,-19.16,198.86,Eating out
17/05/2024,-13.9,218.02,Eating out
16/05/2024,-39.77,231.92,Food
16/05/2024,-45.05,271.69,Utilities
16/05/2024,-20.69,316.74,Eating out
15/05/2024,-100,337.43,Eating out
15/05/2024,-250,437.43,Travel
15/05/2024,-1000,687.43,Eating out
15/05/2024,-15.12,1687.43,Eating out
15/05/2024,-8,1702.55,Food
15/05/2024,-4,1710.55,Food
15/05/2024,-10,1714.55,Eating out
15/05/2024,-113.42,1724.55,Eating out
15/05/2024,-19.88,1837.97,Entertainment
15/05/2024,693.2,1857.85,Food
15/05/2024,377.4,1164.65,Entertainment
15/05/2024,370.69,787.25,Eating out
14/05/2024,200,416.56,Eating out
14/05/2024,-15.12,216.56,Eating out
14/05/2024,-33.49,231.68,Eating out
14/05/2024,-9.99,265.17,Eating out
14/05/2024,-8.65,275.16,Utilities
14/05/2024,-23.4,283.81,Eating out
14/05/2024,-6.99,307.21,Eating out
14/05/2024,-7.12,314.2,Eating out
14/05/2024,-7.6,321.32,Entertainment
14/05/2024,-101.19,328.92,Travel
14/05/2024,-67.13,430.11,Travel
14/05/2024,-9.36,497.24,Food
